SBAN;SEDE;MUNICIPIO;REGIONAL;DPTO;Direccion;HORARIO;ATENCION;;;;;;;;
2730;SAN CARLOS;San Carlos;ANTIOQUIA;Córdoba;Calle 9 -26 Barrio Centro - Calle Principal;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
4515;GUAMAL;Guamal;BOGOTA;Meta;Calle 12 No.4-06/10;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1383;MARINILLA;Marinilla;ANTIOQUIA;Antioquia;Cra.30 No.30-48 parque Principal;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
910;FUNZA;Funza;BOGOTA;Cundinamarca;Calle 13 No. 15A-31;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
920;CHIA;Chía;BOGOTA;Cundinamarca;Carrera 10 No.8-13;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
3165;SIMIJACA;Simijaca;BOGOTA;Cundinamarca;Calle 8 No. 7-25;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
4509;CASTILLA LA NUEVA;Castilla La Nueva;BOGOTA;Meta;Carrera 8 No. 5 – 41/43 Centro;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
2410;VALLEDUPAR - CDV;Valledupar;COSTA;Cesar;Diagonal 18 N° 29 - 63;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1563;RAMIRIQUI;Ramiriquí;ORIENTE;Boyacá;Calle 7 No 6-07;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6063;LOS SANTOS;Los Santos;SANTANDERES;Santander;CRA. 6 N° 2-03/05;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1487;ENTRERIOS;ENTRERRIOS;ANTIOQUIA;Antioquia;Carrera 11 No. 10-68;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
2719;CIENAGA DE ORO;Ciénaga De Oro;ANTIOQUIA;Córdoba;CALLE 7# 15  44;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
4505;CUBARRAL;San Luis De Cubarral;BOGOTA;Meta;Calle 9 No.8-33;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1524;EL COCUY;El Cocuy;ORIENTE;Boyacá;CALLE 8 N 3-64-90 LOCAL 1 ;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1568;SAMACA;Samacá;ORIENTE;Boyacá;CARRERA 6 No. 4 - 65;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
1590;TUTA;Tuta;ORIENTE;Boyacá;CALLE 6 # 6-23;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6038;PUERTO WILCHES;Puerto Wilches;SANTANDERES;Santander;CALLE 3 # 2-100;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1389;SANTAFE DE ANTIOQUIA;Santafé De Antioquia;ANTIOQUIA;Antioquia;CALLE 9 #10-53;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
900;FACATATIVA;Facatativá;BOGOTA;Cundinamarca;Carrera 3 No. 5-40;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
960;SOPO;Sopó;BOGOTA;Cundinamarca;Calle 2 No. 2-05/09 Parque Principal;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
3148;MEDINA;Medina;BOGOTA;Cundinamarca;Calle 13 No.6-61;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3168;SUSA;Susa;BOGOTA;Cundinamarca;Calle 6 N 3- 105;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
2420;MANAURE;Manaure;COSTA;Cesar;Calle 2 No.7 A - 43;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1530;CHIQUINQUIRA;Chiquinquirá;ORIENTE;Boyacá;Carrera 10 No 14-27;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1535;JENESANO;Jenesano;ORIENTE;Boyacá;Carrera 2 No. 8 -26;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
8601;AGUAZUL;Aguazul;ORIENTE;Casanare;Carrera 18 No 9-31;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1265;SIMITI;Simití;SANTANDERES;Bolívar;Carrera 25 No. 28-03;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6017;PIEDECUESTA;Piedecuesta;SANTANDERES;Santander;Calle 6 No. 5-98/86;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6633;COYAIMA;Coyaima;SUR;Tolima;Cra.3 No.2-36 Barrio Centro;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
1397;SOPETRAN;Sopetrán;ANTIOQUIA;Antioquia;Calle 10 A No. 8-04/06;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
1546;VILLA DE LEYVA;Villa De Leyva;ORIENTE;Boyacá;CALLE 12 # 9-45;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
1587;TOCA;Toca;ORIENTE;Boyacá;CALLE 4 No. 7 - 39;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
970;ZIPAQUIRA;Zipaquirá;BOGOTA;Cundinamarca;Carrera 8 No.6- 29/35/41/47/51 locales 4 y 5;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
3138;GUAYABAL DE SIQUIMA;Guayabal De Siquima;BOGOTA;Cundinamarca;Calle 3 No. 4 -03 Alcaldía Municipal;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3160;SUESCA;Suesca;BOGOTA;Cundinamarca;Carrera 5 No. 8 - 16 Centro - Frente al Parque Principal;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
4535;SAN MARTIN;San Martín;BOGOTA;Meta;Calle 13 #6-61 ;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1204;SOLEDAD;Soledad;COSTA;Atlántico;Calle 15 # 20-04;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
2412;LA PAZ ROBLES;La Paz;COSTA;Cesar;Trasnsversal 5 No. 5-11;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1540;GUICAN;Güicán;ORIENTE;Boyacá;Cra.3 No. 4 - 25;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1585;TIBANA;Tibaná;ORIENTE;Boyacá;CALLE 5 # 6-45;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
5105;PUERTO SANTANDER;Puerto Santander;SANTANDERES;Norte de Santander;Carrera 3 N° 4 -70;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6010;ARATOCA;Aratoca;SANTANDERES;Santander;CRA. 4 N° 4-56;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3118;CHOCONTA;Chocontá;BOGOTA;Cundinamarca;Carrera 5 No. 4 - 43;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
3155;QUIPILE;Quipile;BOGOTA;Cundinamarca;Carrera 2 No. 3-67 Parque Principal;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
3195;PACHO;Pacho;BOGOTA;Cundinamarca;CALLE 8 No. 14-41;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
4517;GRANADA;Granada;BOGOTA;Meta;Calle 16 No. 12 - 09 Barrio Centro;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
7305;ARAUQUITA;Arauquita;BOGOTA;Arauca;CALLE 3 No. 4-48;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1205;ZONA BANANERA;Zona Bananera;COSTA;Magdalena;CORREGIMIENTO DE PRADO SEVILLA, CASA 9 ALCALDIA MUNICIPAL ZONA BANANERA;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1652;PUERTO COLOMBIA;Puerto Colombia;COSTA;Atlántico;Carrera 5 No. 2 - 03;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
2440;SAN DIEGO;San Diego;COSTA;Cesar;CALLE 3 Nº. 9-35;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3660;URUMITA;Urumita;COSTA;La Guajira;Carrera 9 N° 9 -04;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1504;BELEN;Belén;ORIENTE;Boyacá;Cra.5 No.6-11;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
1526;EL ESPINO;El Espino;ORIENTE;Boyacá;Calle 6 No. 4 -08;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
1580;SOTAQUIRA;Sotaquirá;ORIENTE;Boyacá;CALLE 6 No. 6 - 04;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
1592;UMBITA;Umbita;ORIENTE;Boyacá;Calle 5 No. 15-43 Peatonal;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6029;BOLIVAR;Bolívar;ORIENTE;Santander;CRA. 3 N° 9-64;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
8663;TAURAMENA;Tauramena;ORIENTE;Casanare;CARRERA 14 No. 5-34 Carrera 9a No. 1A-39;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6030;CURITI;Curití;SANTANDERES;Santander;CRA. 8 N° 8-58;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6053;GUACA;Guaca;SANTANDERES;Santander;Calle 4 No 4- 02 /08;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
940;TENJO;Tenjo;BOGOTA;Cundinamarca;CARRERA 4 No. 3 – 40;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
3107;ANOLAIMA;Anolaima;BOGOTA;Cundinamarca;Carrera 4 No. 4-02;LUNES A VIERNES;7.00 A.M. A 2:00 PM;;;;;;;;
4512;EL CASTILLO;El Castillo;BOGOTA;Meta;Calle 10 No.8-33 Centro;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1648;JUAN DE ACOSTA;Juan De Acosta;COSTA;Atlántico;Calle 7 Nº. 4-106;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
2408;CODAZZI;Agustín Codazzi;COSTA;Cesar;Carrera 16 No. 11-05;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3655;VILLANUEVA;VILLANUEVA;COSTA;"Jose Samir Grisales Holguin <jose.grisales@bancoagrario.gov.co>; ""Leidis Karina Montero Pitre"" <leidis.montero@bancoagrario.gov.co>; ""Johandrys Arias Saenz"" <johandrys.arias@bancoagrario.gov.co>; ""Augusto Jose Cuadrado Cardenas"" <augusto.cuadrado@bancoagrario.gov.co>";Carrera 8a No 12A 83– Parque Principal Villanueva;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
4209;CIENAGA;Ciénaga;COSTA;Magdalena;CALLE 12 No. 11 - 52 Barrio Centro;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1505;PAZ DE RIO;Paz de Río;ORIENTE;Boyacá;Carrera 3 N° 9 – 32/38 Avenida Santander;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
1511;PAIPA;Paipa;ORIENTE;Boyacá;Calle 25 No. 19-122/128;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1514;CHISCAS;Chiscas;ORIENTE;Boyacá;Calle 4 No 3-64 Centro;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3180;VILLAPINZON;Villapinzón;ORIENTE;Cundinamarca;Calle 4 No.4-16;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
8615;MANI;Maní;ORIENTE;Casanare;Calle 17 N° 4 -04;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
8620;MONTERREY;Monterrey;ORIENTE;Casanare;CARRERA 7 No. 15-48 15-69;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
5110;EL ZULIA;El Zulia;SANTANDERES;Norte de Santander;AVENIDA 2 No. 7 - 10 Centro;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6025;BARICHARA;Barichara;SANTANDERES;Santander;CALLE 5 N° 6 - 35;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6068;SAN ANDRES;San Andrés;SANTANDERES;Santander;Carrera 5 N° 8-10;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
3115;CACHIPAY;Cachipay;BOGOTA;Cundinamarca;Calle 4 No. 5-34/40;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3157;SAN CAYETANO;San Cayetano;BOGOTA;Cundinamarca;Calle 3 No.4-10 Centro;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
4514;FUENTE DE ORO;Fuente De Oro;BOGOTA;Meta;Carrera 14 Centro;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
7360;SARAVENA;Saravena;BOGOTA;Arauca;Carrera 15 No.26-53/55/57;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1622;BARANOA;Baranoa;COSTA;Atlántico;Carrera 19 Nº. 16-52 Plaza de Baranoa;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
2405;BECERRIL;Becerril;COSTA;Cesar;Carrera 7 Calle 10 esquina. Barrio Palmaritos Nuevo Palacio Municipal;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3640;SAN JUAN DEL CESAR;San Juan Del Cesar;COSTA;La Guajira;CALLE 5 N° 5 -121;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
4210;SANTA MARTA;Santa Marta;COSTA;Magdalena;Calle 15 No.3-07;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1571;SAN MATEO;San Mateo;ORIENTE;Boyacá;CARRERA 4 No. 3 - 75;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1573;SANTA ROSA DE VITERBO;Santa Rosa De Viterbo;ORIENTE;Boyacá;CALLE 3 No. 4 - 22 CALLE 9 No,. 4-42 Plaza Principal;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1578;SOCHA;Socha;ORIENTE;Boyacá;Carrera 10 N0. 3-57 Parque Principal;MARTES A VIERNES Y SÁBADO;DE MARTES A VIERNES DE 8:00 AM A 11:30 AM Y DE 2:00 P.M. A 4:30 P.M. SABADO DE 8:00 AM A 2:00 P.M.;;;;;;;;
1593;VENTAQUEMADA;Ventaquemada;ORIENTE;Boyacá;CALLE 5 No. 8 - 79;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6074;CHIPATA;Chipatá;ORIENTE;Santander;Calle 3 No. 5 - 37;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
8640;VILLANUEVA;Villanueva;ORIENTE;Casanare;CALLE 11 No. 8-31/39 CENTRO AVENIDA PRINCIPAL/ HOTEL PANAMERICANO;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
6066;MOLAGAVITA;Molagavita;SANTANDERES;Santander;CRA. 4 N° 4-02;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
3161;SUPATA;Supatá;BOGOTA;Cundinamarca;Carrera 6 No. 5-03 Centro;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
5113;CENTRAL DE ABASTOS CUCUTA;Cúcuta;SANTANDERES;Norte de Santander;CENABASTOS CUCUTA Galpón G local 7 y 18;MARTES A SABADO;8:00 AM A 2:00 P.M.;;;;;;;;
980;SUBACHOQUE;Subachoque;BOGOTA;Cundinamarca;Calle 2 No. 3-07;LUNES A VIERNES;8:00 A.M. A 3:00 P.M.;;;;;;;;
3101;TENA (Operando desde la oficina de La Mesa - Cundinamarca);Tena;BOGOTA;Cundinamarca;Calle 2 No 3-15 lado de la estación de policía;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
3152;PAIME;Paime;BOGOTA;Cundinamarca;Calle 3 No. 2-16;LUNES A VIERNES;7.00 A.M. A 2:00 PM;;;;;;;;
4521;MESETAS;Mesetas;BOGOTA;Meta;Carrera 7 No.8-74;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1267;SANTA CATALINA;Santa Catalina;COSTA;Bolívar;Plaza Principal - Santa Catalina - Bolívar;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
2413;FONSECA;Fonseca;COSTA;La Guajira;CALLE 13 N. 19-57;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
2442;LA JAGUA DE IBIRICO;La Jagua De Ibirico;COSTA;Cesar;Carrera 4 No. 6 - 07;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
4212;ARACATACA;Aracataca;COSTA;Magdalena;CALLE 4 # 4-56;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1507;DUITAMA;Duitama;ORIENTE;Boyacá;Calle 14 No 15-33/37-41;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
1544;LA UVITA;La Uvita;ORIENTE;Boyacá;Carrera 6 No. 6 -73;LUNES A VIERNES;08:00 AM - 11:30 AM Y DE 02:00 PM - 04:30 PM;;;;;;;;
